Omschrijving;Entity 4x3;Predefined type 4x3;
ventilatieopening;IfcAirTerminal;;
ventilatierooster;IfcAirTerminal;GRILLE;
ventilatieunit;IfcAirTerminalBox;;
schel;IfcAlarm;BELL;
ligger;IfcBeam;BEAM;
latei;IfcBeam;LINTEL;
T-ligger;IfcBeam;T_BEAM;
boiler;IfcBoiler;WATER;
generiek gebouwelement;IfcBuildingElementProxy;;
kabeldrager koppelstuk;IfcCableCarrierFitting;;
kabeldrager segment;IfcCableCarrierSegment;;
kabelladder;IfcCableCarrierSegment;CABLELADDERSEGMENT;
kabelgoot;IfcCableCarrierSegment;CABLETRAYSEGMENT;
mantelbuis;IfcCableCarrierSegment;CONDUITSEGMENT;
kabel koppelstuk;IfcCableFitting;;
kabel;IfcCableSegment;;
schoorsteen;IfcChimney;;
kolom;IfcColumn;COLUMN;
plafond;IfcCovering;CEILING;
gevelbekleding;IfcCovering;CLADDING;
vloerafwerking;IfcCovering;FLOORING;
isolatie;IfcCovering;INSULATION;
randisolatie;IfcCovering;SKIRTINGBOARD;
egalisatielaag;IfcCovering;TOPPING;
gevelstucwerk;IfcCovering;;
vliesgevel ;IfcCurtainWall;;
slagboom;IfcDoor;BOOM_BARRIER;
deur;IfcDoor;DOOR;
poort;IfcDoor;GATE;
luik;IfcDoor;TRAPDOOR;
garagedeur;IfcDoor;;
samengesteld element;IfcElementAssembly;;
brandblusser;IfcFireSuppressionTerminal;;
brandkraan;IfcFireSuppressionTerminal;FIREHYDRANT;
brandslanghaspel;IfcFireSuppressionTerminal;HOSEREEL;
sprinkler;IfcFireSuppressionTerminal;SPRINKLER;
fundering;IfcFooting;;
funderingsbalk;IfcFooting;FOOTING_BEAM;
funderingsstrook;IfcFooting;STRIP_FOOTING;
beplanting;IfcGeographicElement;VEGETATION;
stijl;IfcMember;MULLION;
regel;IfcMember;PLATE;
gording;IfcMember;PURLIN;
contactdoos;IfcOutlet;;
netwerkaansluitdoos;IfcOutlet;DATAOUTLET;
paal;IfcPile;;
boorpaal;IfcPile;BORED;
heipaal;IfcPile;DRIVEN;
groutanker;IfcPile;JETGROUTING;
leiding koppelstuk;IfcPipeFitting;;
leidingsegment;IfcPipeSegment;;
duiker;IfcPipeSegment;CULVERT;
goot;IfcPipeSegment;GUTTER;
plaat;IfcPlate;;
balustrade;IfcRailing;BALUSTRADE;
hekwerk;IfcRailing;FENCE;
vangrail;IfcRailing;GUARDRAIL;
leuning;IfcRailing;HANDRAIL;
hellingbaan;IfcRamp;;
hellingbaansegment;IfcRampFlight;;
dak;IfcRoof;;
platdak;IfcRoof;FLAT_ROOF;
zadeldak;IfcRoof;GABLE_ROOF;
mansardedak;IfcRoof;MANSARD_ROOF;
lessenaarsdak;IfcRoof;SHED_ROOF;
sanitair;IfcSanitaryTerminal;;
bad;IfcSanitaryTerminal;BATH;
bidet;IfcSanitaryTerminal;BIDET;
douche;IfcSanitaryTerminal;SHOWER;
spoelbak;IfcSanitaryTerminal;SINK;
toiletpot;IfcSanitaryTerminal;TOILETPAN;
urinoir;IfcSanitaryTerminal;URINAL;
fontein;IfcSanitaryTerminal;WASHHANDBASIN;
toiletbril;IfcSanitaryTerminal;WCSEAT;
sensor;IfcSensor;;
CO2-sensor;IfcSensor;CO2SENSOR;
brandmelder;IfcSensor;FIRESENSOR;
lichtsensor;IfcSensor;LIGHTSENSOR;
bewegingssensor;IfcSensor;MOVEMENTSENSOR;
rookmelder;IfcSensor;SMOKESENSOR;
temperatuursensor;IfcSensor;TEMPERATURESENSOR;
zonwering;IfcShadingDevice;;
zonnescherm;IfcShadingDevice;AWNING;
shutter;IfcShadingDevice;SHUTTER;
terrein;IfcSite;;
funderingsplaat;IfcSlab;BASESLAB;
vloer;IfcSlab;FLOOR;
bordes;IfcSlab;LANDING;
bestrating;IfcSlab;PAVING;
dakvloer;IfcSlab;ROOF;
zonneboiler;IfcSolarDevice;SOLARCOLLECTOR;
zonnepaneel;IfcSolarDevice;SOLARPANEL;
convector;IfcSpaceHeater;CONVECTOR;
radiator;IfcSpaceHeater;RADIATOR;
trap;IfcStair;;
ladder;IfcStair;LADDER;
spiltrap;IfcStair;SPIRAL_STAIR;
steektrap;IfcStair;STRAIGHT_RUN_STAIR;
dubbelkwarttrap;IfcStair;TWO_QUARTER_WINDING_STAIR;
dimmer;IfcSwitchingDevice;DIMMERSWITCH;
pulsschakelaar;IfcSwitchingDevice;MOMENTARYSWITCH;
schakelaar;IfcSwitchingDevice;TOGGLESWITCH;
transportelement;IfcTransportElement;;
lift;IfcTransportElement;ELEVATOR;
roltrap;IfcTransportElement;ESCALATOR;
wand;IfcWall;;
borstwering;IfcWall;PARAPET;
lichte scheidingswand;IfcWall;PARTITIONING;
voorzetwand;IfcWall;PLUMBINGWALL;
keerwand;IfcWall;RETAININGWALL;
stabiliteitswand;IfcWall;SHEAR;
massieve wand;IfcWall;SOLIDWALL;
dakraam;IfcWindow;SKYLIGHT;
raam;IfcWindow;WINDOW;
